"Period","Date","Date2","Treatment","Site","choice","dung_density","Activity","Ind_Secs"
15,2018-01-21,2018-04-21,"CONT","Jericho","GIRAFFE",0,"dcount",0.192307692307692
15,2018-01-21,2018-04-21,"CONT","Jericho","GIRAFFE",0,"ddrink",0
15,2018-01-21,2018-04-21,"CONT","Jericho","GIRAFFE",0,"dgraze",0
20,2018-06-18,2018-09-16,"CONT","Jericho","ELEPHANT",99.5555555555556,"dcount",2.45820895522388
20,2018-06-18,2018-09-16,"CONT","Jericho","ELEPHANT",99.5555555555556,"ddrink",0
20,2018-06-18,2018-09-16,"CONT","Jericho","ELEPHANT",99.5555555555556,"dgraze",1.06716417910448
20,2018-06-18,2018-09-16,"CONT","Jericho","BUFFALO",0,"dcount",0.656716417910448
20,2018-06-18,2018-09-16,"CONT","Jericho","BUFFALO",0,"ddrink",0
20,2018-06-18,2018-09-16,"CONT","Jericho","BUFFALO",0,"dgraze",0.248756268656716
20,2018-06-18,2018-09-16,"CONT","Jericho","CATTLE",0,"dcount",35.5837492537313
20,2018-06-18,2018-09-16,"CONT","Jericho","CATTLE",0,"ddrink",5.18995970149254
20,2018-06-18,2018-09-16,"CONT","Jericho","CATTLE",0,"dgraze",23.6396671641791
20,2018-06-18,2018-09-16,"CONT","Jericho","ZEBRA",0,"dcount",1.1144278358209
20,2018-06-18,2018-09-16,"CONT","Jericho","ZEBRA",0,"ddrink",0
20,2018-06-18,2018-09-16,"CONT","Jericho","ZEBRA",0,"dgraze",0.288557164179104
20,2018-06-18,2018-09-16,"CONT","Jericho","IMPALA",0,"dcount",0.41044776119403
20,2018-06-18,2018-09-16,"CONT","Jericho","IMPALA",0,"ddrink",0
20,2018-06-18,2018-09-16,"CONT","Jericho","IMPALA",0,"dgraze",0
20,2018-06-18,2018-09-16,"CONT","Jericho","GIRAFFE",0,"dcount",16.9605970149254
20,2018-06-18,2018-09-16,"CONT","Jericho","GIRAFFE",0,"ddrink",0.0746268656716418
20,2018-06-18,2018-09-16,"CONT","Jericho","GIRAFFE",0,"dgraze",8.16616865671642
21,2018-08-22,2018-11-20,"CONT","Jericho","ELEPHANT",42.6666666666667,"dcount",0
21,2018-08-22,2018-11-20,"CONT","Jericho","ELEPHANT",42.6666666666667,"ddrink",0
21,2018-08-22,2018-11-20,"CONT","Jericho","ELEPHANT",42.6666666666667,"dgraze",0
21,2018-08-22,2018-11-20,"CONT","Jericho","BUFFALO",0,"dcount",0
21,2018-08-22,2018-11-20,"CONT","Jericho","BUFFALO",0,"ddrink",0
21,2018-08-22,2018-11-20,"CONT","Jericho","BUFFALO",0,"dgraze",0
21,2018-08-22,2018-11-20,"CONT","Jericho","CATTLE",3.55555555555556,"dcount",0
21,2018-08-22,2018-11-20,"CONT","Jericho","CATTLE",3.55555555555556,"ddrink",0
21,2018-08-22,2018-11-20,"CONT","Jericho","CATTLE",3.55555555555556,"dgraze",0
21,2018-08-22,2018-11-20,"CONT","Jericho","ZEBRA",0,"dcount",0
21,2018-08-22,2018-11-20,"CONT","Jericho","ZEBRA",0,"ddrink",0
21,2018-08-22,2018-11-20,"CONT","Jericho","ZEBRA",0,"dgraze",0
21,2018-08-22,2018-11-20,"CONT","Jericho","IMPALA",0,"dcount",0
21,2018-08-22,2018-11-20,"CONT","Jericho","IMPALA",0,"ddrink",0
21,2018-08-22,2018-11-20,"CONT","Jericho","IMPALA",0,"dgraze",0
21,2018-08-22,2018-11-20,"CONT","Jericho","GIRAFFE",1.45833333333333,"dcount",0
21,2018-08-22,2018-11-20,"CONT","Jericho","GIRAFFE",1.45833333333333,"ddrink",0
21,2018-08-22,2018-11-20,"CONT","Jericho","GIRAFFE",1.45833333333333,"dgraze",0
0,2016-09-24,2016-12-23,"CONT","Kambi","ELEPHANT",42.6666666666667,"dcount",4.23412714285714
0,2016-09-24,2016-12-23,"CONT","Kambi","ELEPHANT",42.6666666666667,"ddrink",0
0,2016-09-24,2016-12-23,"CONT","Kambi","ELEPHANT",42.6666666666667,"dgraze",0.353741476190476
0,2016-09-24,2016-12-23,"CONT","Kambi","BUFFALO",58.6666666666667,"dcount",24.0952380952381
0,2016-09-24,2016-12-23,"CONT","Kambi","BUFFALO",58.6666666666667,"ddrink",0
0,2016-09-24,2016-12-23,"CONT","Kambi","BUFFALO",58.6666666666667,"dgraze",10.0529095238095
0,2016-09-24,2016-12-23,"CONT","Kambi","CATTLE",0,"dcount",0.238095238095238
0,2016-09-24,2016-12-23,"CONT","Kambi","CATTLE",0,"ddrink",0
0,2016-09-24,2016-12-23,"CONT","Kambi","CATTLE",0,"dgraze",0
0,2016-09-24,2016-12-23,"CONT","Kambi","ZEBRA",0,"dcount",0.238095238095238
0,2016-09-24,2016-12-23,"CONT","Kambi","ZEBRA",0,"ddrink",0
0,2016-09-24,2016-12-23,"CONT","Kambi","ZEBRA",0,"dgraze",0
0,2016-09-24,2016-12-23,"CONT","Kambi","IMPALA",0.55,"dcount",49.6078428571429
0,2016-09-24,2016-12-23,"CONT","Kambi","IMPALA",0.55,"ddrink",0
0,2016-09-24,2016-12-23,"CONT","Kambi","IMPALA",0.55,"dgraze",13.3291333333333
0,2016-09-24,2016-12-23,"CONT","Kambi","GIRAFFE",0.625,"dcount",23.1443693809524
0,2016-09-24,2016-12-23,"CONT","Kambi","GIRAFFE",0.625,"ddrink",2.23280428571429
0,2016-09-24,2016-12-23,"CONT","Kambi","GIRAFFE",0.625,"dgraze",38.1957666666667
3,2017-01-13,2017-04-13,"CONT","Kambi","ELEPHANT",0,"dcount",0.745454545454545
3,2017-01-13,2017-04-13,"CONT","Kambi","ELEPHANT",0,"ddrink",0
3,2017-01-13,2017-04-13,"CONT","Kambi","ELEPHANT",0,"dgraze",0.186666672727273
3,2017-01-13,2017-04-13,"CONT","Kambi","BUFFALO",0,"dcount",36.5307563636364
3,2017-01-13,2017-04-13,"CONT","Kambi","BUFFALO",0,"ddrink",1.10928636363636
3,2017-01-13,2017-04-13,"CONT","Kambi","BUFFALO",0,"dgraze",12.5112850909091
3,2017-01-13,2017-04-13,"CONT","Kambi","CATTLE",0,"dcount",29.9216345454545
3,2017-01-13,2017-04-13,"CONT","Kambi","CATTLE",0,"ddrink",1.16901909090909
3,2017-01-13,2017-04-13,"CONT","Kambi","CATTLE",0,"dgraze",18.2577836363636
3,2017-01-13,2017-04-13,"CONT","Kambi","ZEBRA",0,"dcount",3.36145454545455
3,2017-01-13,2017-04-13,"CONT","Kambi","ZEBRA",0,"ddrink",0
3,2017-01-13,2017-04-13,"CONT","Kambi","ZEBRA",0,"dgraze",0.589090909090909
3,2017-01-13,2017-04-13,"CONT","Kambi","IMPALA",0,"dcount",1.35909090909091
3,2017-01-13,2017-04-13,"CONT","Kambi","IMPALA",0,"ddrink",0
3,2017-01-13,2017-04-13,"CONT","Kambi","IMPALA",0,"dgraze",0.140909090909091
3,2017-01-13,2017-04-13,"CONT","Kambi","GIRAFFE",0,"dcount",1.69090909090909
3,2017-01-13,2017-04-13,"CONT","Kambi","GIRAFFE",0,"ddrink",0
3,2017-01-13,2017-04-13,"CONT","Kambi","GIRAFFE",0,"dgraze",0.521212181818182
6,2017-03-24,2017-06-22,"CONT","Kambi","ELEPHANT",0,"dcount",14.2992421875
6,2017-03-24,2017-06-22,"CONT","Kambi","ELEPHANT",0,"ddrink",7.5227265625
6,2017-03-24,2017-06-22,"CONT","Kambi","ELEPHANT",0,"dgraze",7.6173296875
6,2017-03-24,2017-06-22,"CONT","Kambi","BUFFALO",7.11111111111111,"dcount",110.97243078125
6,2017-03-24,2017-06-22,"CONT","Kambi","BUFFALO",7.11111111111111,"ddrink",1.42673609375
6,2017-03-24,2017-06-22,"CONT","Kambi","BUFFALO",7.11111111111111,"dgraze",47.935751875
6,2017-03-24,2017-06-22,"CONT","Kambi","CATTLE",0,"dcount",91.6527015625
6,2017-03-24,2017-06-22,"CONT","Kambi","CATTLE",0,"ddrink",1.00462578125
6,2017-03-24,2017-06-22,"CONT","Kambi","CATTLE",0,"dgraze",33.5613765625
6,2017-03-24,2017-06-22,"CONT","Kambi","ZEBRA",0,"dcount",15.3958328125
6,2017-03-24,2017-06-22,"CONT","Kambi","ZEBRA",0,"ddrink",0
6,2017-03-24,2017-06-22,"CONT","Kambi","ZEBRA",0,"dgraze",1.56041671875
6,2017-03-24,2017-06-22,"CONT","Kambi","IMPALA",0,"dcount",1.16796875
6,2017-03-24,2017-06-22,"CONT","Kambi","IMPALA",0,"ddrink",0
6,2017-03-24,2017-06-22,"CONT","Kambi","IMPALA",0,"dgraze",0.12109375
6,2017-03-24,2017-06-22,"CONT","Kambi","GIRAFFE",0,"dcount",1.421875
6,2017-03-24,2017-06-22,"CONT","Kambi","GIRAFFE",0,"ddrink",0
6,2017-03-24,2017-06-22,"CONT","Kambi","GIRAFFE",0,"dgraze",0.44791671875
8,2017-06-05,2017-09-03,"CONT","Kambi","ELEPHANT",0,"dcount",0.348837209302326
8,2017-06-05,2017-09-03,"CONT","Kambi","ELEPHANT",0,"ddrink",0
8,2017-06-05,2017-09-03,"CONT","Kambi","ELEPHANT",0,"dgraze",0.116279069767442
8,2017-06-05,2017-09-03,"CONT","Kambi","BUFFALO",0.888888888888889,"dcount",109.903488372093
8,2017-06-05,2017-09-03,"CONT","Kambi","BUFFALO",0.888888888888889,"ddrink",0
8,2017-06-05,2017-09-03,"CONT","Kambi","BUFFALO",0.888888888888889,"dgraze",45.8245846511628
8,2017-06-05,2017-09-03,"CONT","Kambi","CATTLE",0,"dcount",32.984488372093
8,2017-06-05,2017-09-03,"CONT","Kambi","CATTLE",0,"ddrink",0
8,2017-06-05,2017-09-03,"CONT","Kambi","CATTLE",0,"dgraze",24.1937976744186
8,2017-06-05,2017-09-03,"CONT","Kambi","ZEBRA",0,"dcount",24.7674418604651
8,2017-06-05,2017-09-03,"CONT","Kambi","ZEBRA",0,"ddrink",0
8,2017-06-05,2017-09-03,"CONT","Kambi","ZEBRA",0,"dgraze",19.0813953488372
8,2017-06-05,2017-09-03,"CONT","Kambi","IMPALA",0,"dcount",0
8,2017-06-05,2017-09-03,"CONT","Kambi","IMPALA",0,"ddrink",0
8,2017-06-05,2017-09-03,"CONT","Kambi","IMPALA",0,"dgraze",0
8,2017-06-05,2017-09-03,"CONT","Kambi","GIRAFFE",0.520833333333333,"dcount",2.72093023255814
8,2017-06-05,2017-09-03,"CONT","Kambi","GIRAFFE",0.520833333333333,"ddrink",0
8,2017-06-05,2017-09-03,"CONT","Kambi","GIRAFFE",0.520833333333333,"dgraze",0
9,2017-07-11,2017-10-09,"CONT","Kambi","ELEPHANT",17.7777777777778,"dcount",0.119047619047619
9,2017-07-11,2017-10-09,"CONT","Kambi","ELEPHANT",17.7777777777778,"ddrink",0
9,2017-07-11,2017-10-09,"CONT","Kambi","ELEPHANT",17.7777777777778,"dgraze",0
9,2017-07-11,2017-10-09,"CONT","Kambi","BUFFALO",0,"dcount",43.9761904761905
9,2017-07-11,2017-10-09,"CONT","Kambi","BUFFALO",0,"ddrink",0
9,2017-07-11,2017-10-09,"CONT","Kambi","BUFFALO",0,"dgraze",29.9166666666667
9,2017-07-11,2017-10-09,"CONT","Kambi","CATTLE",0,"dcount",85.9335476190476
9,2017-07-11,2017-10-09,"CONT","Kambi","CATTLE",0,"ddrink",0
9,2017-07-11,2017-10-09,"CONT","Kambi","CATTLE",0,"dgraze",38.4253333333333
9,2017-07-11,2017-10-09,"CONT","Kambi","ZEBRA",0.5,"dcount",0
9,2017-07-11,2017-10-09,"CONT","Kambi","ZEBRA",0.5,"ddrink",0
9,2017-07-11,2017-10-09,"CONT","Kambi","ZEBRA",0.5,"dgraze",0
9,2017-07-11,2017-10-09,"CONT","Kambi","IMPALA",0.1375,"dcount",0.702380952380952
9,2017-07-11,2017-10-09,"CONT","Kambi","IMPALA",0.1375,"ddrink",0
9,2017-07-11,2017-10-09,"CONT","Kambi","IMPALA",0.1375,"dgraze",0
9,2017-07-11,2017-10-09,"CONT","Kambi","GIRAFFE",0,"dcount",0.642857142857143
9,2017-07-11,2017-10-09,"CONT","Kambi","GIRAFFE",0,"ddrink",0
9,2017-07-11,2017-10-09,"CONT","Kambi","GIRAFFE",0,"dgraze",0
12,2017-09-22,2017-12-21,"CONT","Kambi","ELEPHANT",0,"dcount",16.610188172043
12,2017-09-22,2017-12-21,"CONT","Kambi","ELEPHANT",0,"ddrink",0
12,2017-09-22,2017-12-21,"CONT","Kambi","ELEPHANT",0,"dgraze",6.82576634408602
12,2017-09-22,2017-12-21,"CONT","Kambi","BUFFALO",7.11111111111111,"dcount",103.247583870968
